config;NVIDIA GeForce GT710;SP bus width 4 (13.9GiB/s);SP bus width 8 (27.8GiB/s);SP bus width 16 (55.6GiB/s);SP bus width 32 (111.2GiB/s)
cnn_convolution;69810967;82830378;53466069;34838129;26619492
cnn_maxpool;718192;1664910;1009071;687198;532861
fft;339410;777077;500829;358688;320421
kfusion_depth2vertex;422124;808102;618130;531667;501177
kfusion_halfSampleRobustImage;179081;313973;205097;152984;144605
kfusion_track;2536004;13582675;12269100;11610688;11287449
kfusion_vertex2normal;1460135;2507086;1491333;993657;738764
mriq_computeQ;93423664;86561713;86560721;86560721;86560721
spmv;216021;2407508;2407508;2407508;2407508
srad_reduce;479502;850928;536447;401213;334760
srad;501017;2818345;2816609;2806189;2802240
