"config";"(64,1,3)";"(64,1,4)";"(64,1,5)";"(64,1,6)";"(64,3,3)";"(64,3,4)";"(64,3,5)";"(64,3,6)";"(128,1,3)";"(128,1,4)";"(128,1,5)";"(128,1,6)";"(128,3,3)";"(128,3,4)";"(128,3,5)";"(128,3,6)";"(256,1,3)";"(256,1,4)";"(256,1,5)";"(256,1,6)";"(256,3,3)";"(256,3,4)";"(256,3,5)";"(256,3,6)"
"cnn_convolution";21009806;22927357;24845930;26897060;24461838;26292623;28248278;30226402;17473437;19219252;21218168;23088256;20635968;22573355;24462378;26495290;15547366;17475288;19771615;22170920;19219167;21666448;24035720;26424873
"cnn_maxpool";446833;453317;460350;465836;454012;460747;456231;466287;350086;354288;359347;363916;357173;363615;368726;384085;320961;331326;334330;343747;334635;338732;347607;358340
"cnn_relu";58981;58982;58983;58984;58983;58984;58985;58986;58981;58982;58983;58984;58983;58984;58985;58986;58981;58982;58983;58984;58983;58984;58985;58986
"fft";273078;273100;273266;276075;273130;274770;276283;277901;210676;212540;214198;215031;213670;214767;216062;217696;201945;202800;209083;211859;202850;209616;200157;202340
"kfusion_depth2vertex";416196;417983;418019;418063;418016;418058;423874;425479;349928;350734;350790;350837;350783;350835;350894;354352;311806;317481;319070;319239;319019;319189;322667;325104
"kfusion_halfSampleRobustImage";128361;130065;131710;133293;131428;133288;134620;136313;100208;100652;100950;101887;100885;101887;102770;104551;89197;90771;92678;94143;92475;94087;95651;97591
"kfusion_track";7196636;7203106;7208476;7213393;7208479;7213383;7216978;7222663;6998860;7002384;7006345;7008298;7005551;7008274;7015098;7026050;6918576;6928523;6937096;6945776;6930571;6941431;6948921;6960598
"kfusion_vertex2normal";647201;652644;659309;663112;659303;662909;669322;675290;502568;508212;511872;518868;511748;518867;522664;530495;448121;457826;464069;472535;461803;471181;480455;488015
"mriq_computePhiMag";1287;1288;1289;1290;1289;1290;1291;1292;1287;1288;1289;1290;1289;1290;1291;1292;1287;1288;1289;1290;1289;1290;1291;1292
"mriq_computeQ";145772776;147876420;149980882;152073141;149457052;151758715;153647070;155761353;78680220;80775380;82870120;84969193;82353192;84446456;86547947;88647795;45130956;47925030;52289382;56345727;49851415;53020361;56910130;60904808
"spmv";1439028;1439080;1439103;1439150;1439090;1439140;1439190;1439238;1438537;1438577;1438595;1438637;1438607;1438626;1438668;1438732;1438371;1438416;1438450;1438503;1438440;1438492;1438525;1438576
"srad2";1653606;1653616;1653628;1653642;1653628;1653642;1653655;1653666;1653420;1653432;1653447;1653456;1653447;1653456;1653467;1653486;1653325;1653345;1653358;1653375;1653358;1653375;1653405;1653425
"srad_reduce";446460;447034;450765;451813;450738;452363;444415;458707;251678;256659;263435;271661;263457;271656;278721;299363;194180;200404;215814;226059;214570;225992;234642;250214
"srad";1788480;1788490;1788502;1788517;1788502;1788517;1788530;1788545;1722603;1744845;1745181;1745650;1745181;1745650;1745937;1723006;1704768;1704810;1706593;1709823;1705463;1707926;1711150;1726216
"stencil";986723;987705;987712;988140;987706;987758;988575;989082;969088;969743;970347;970481;969918;970363;970810;971852;960492;961284;962283;963272;962084;962876;964065;965210
