config;DDR4-1866M, 2BG, SP4;DDR4-1866M, 2BG, SP8;DDR4-1866M, 2BG, SP16;DDR4-1866M, 2BG, SP32;DDR4-3200AA, 2BG, SP32;DDR4-3200AA, 4BG, SP32;NVIDIA GeForce GTX780;NVIDIA GeForce GT710;Sim-D (DDR4-1866),no\\_parallel\\_compute\\_sp;Sim-D (DDR4-1866),no\\_parallel\\_dram\\_sp
cnn_convolution;82830378;53466069;34838129;26619492;24462378;24461851;5901185;69810967;45083109;38168093
cnn_maxpool;1664910;1009071;687198;532861;368726;368476;78122;718192;763031;804712
cnn_relu;89232;89232;89232;89232;58985;57702;10895;95359;89232;89232
fft;777077;500829;358688;320421;216062;215307;20106;339410;386606;499958
kfusion_depth2vertex;808102;618130;531667;501177;350894;334464;40212;422124;481105;535256
kfusion_halfSampleRobustImage;313973;205097;152984;144605;102770;95483;19008;179081;172268;180064
kfusion_track;13582675;12269100;11610688;11287449;7015098;6718834;256715;2536004;11328422;11677025
kfusion_vertex2normal;2507086;1491333;993657;738764;522664;503667;137421;1460135;1084036;1180755
mriq_computePhiMag;1963;1963;1963;1963;1291;1261;5091;10217;1963;1963
mriq_computeQ;86561713;86560721;86560721;86560721;86547947;86555580;7669264;93423664;88750645;87602415
spmv;2407508;2407508;2407508;2407508;1438668;1430787;38622;216021;2407692;2422143
srad2;1979510;1979510;1979510;1979510;1653467;1644065;34357;516333;1979510;1979510
srad_reduce;850928;536447;401213;334760;278721;278943;58928;479502;521734;445968
srad;2818345;2816609;2806189;2802240;1745937;1726415;47182;501017;2802240;2817194
stencil;933877;749542;718334;714465;510227;471921;46040;513288;1435551;1435551
